,Color,Runtime,Director Facebook Likes,Actor 1 Facebook Likes,Genres,Title,Number of Voted Users,Cast Total Facebook Likes,Language,Country,Content Rating,Year,IMDb Score,Movie Facebook Likes
4409,Unknown,90.0,134.0,260000.0,Action,Kickboxer: Vengeance ,246,261818,Unknown,USA,Not Rated,2016,9.1,0
1100,Color,95.0,58.0,14000.0,Comedy|Family|Romance|Sport,Kicking & Screaming ,30255,27351,English,USA,PG,2005,5.6,743
3373,Color,80.0,2.0,861.0,Adventure,Kicks ,59,1279,English,USA,R,2016,7.8,240
4405,Color,91.0,184.0,3000.0,Drama,Kids ,59041,3310,English,USA,Not Rated,1995,7.0,0
855, Black and White,111.0,16000.0,926.0,Action,Kill Bill: Vol. 1 ,735784,3983,English,USA,R,2003,8.1,13000
858, Black and White,137.0,16000.0,890.0,Action|Crime|Drama|Thriller,Kill Bill: Vol. 2 ,512749,1959,English,USA,R,2004,8.0,0
4679,Color,95.0,214.0,513.0,Crime|Horror|Thriller,Kill List ,25750,1269,English,UK,Not Rated,2011,6.3,0
3781,Color,112.0,52.0,10000.0,Biography|Crime|Drama|Mystery|Thriller,Kill the Messenger ,32382,12897,English,USA,R,2014,7.0,13000
619,Color,116.0,5.0,26000.0,Action|Crime|Thriller,Killer Elite ,105556,49608,English,UK,R,2011,6.5,17000
3210,Color,98.0,607.0,11000.0,Crime|Drama|Romance|Thriller,Killer Joe ,59297,11853,English,USA,R,2011,6.7,12000
547,Color,100.0,126.0,19000.0,Action|Comedy|Romance|Thriller,Killers ,72867,25206,English,USA,PG-13,2010,5.4,0
2682,Color,97.0,181.0,11000.0,Crime|Thriller,Killing Them Softly ,111625,14025,English,USA,R,2012,6.2,20000
4419,Color,99.0,675.0,902.0,Crime|Drama|Thriller,Killing Zoe ,17322,1582,English,France,R,1993,6.5,853
1837,Color,111.0,425.0,743.0,Action|Comedy|Crime,Kindergarten Cop ,107801,2403,English,USA,PG-13,1990,6.0,0
25,Color,201.0,0.0,6000.0,Action|Adventure|Drama|Romance,King Kong ,316018,7123,English,New Zealand,PG-13,2005,7.2,0
1996,Color,95.0,2.0,927.0,Comedy|Crime,King's Ransom ,3229,4990,English,USA,PG-13,2005,4.1,83
275,Color,194.0,0.0,14000.0,Action|Adventure|Drama|History|War,Kingdom of Heaven ,217373,19600,English,USA,R,2005,7.2,0
4728,Color,97.0,8.0,423.0,Horror|Sci-Fi,Kingdom of the Spiders ,3274,516,English,USA,PG,1977,5.9,0
1939,Color,117.0,101.0,13000.0,Comedy|Sport,Kingpin ,63459,16937,English,USA,PG-13,1996,6.9,3000
3055, Black and White,118.0,386.0,14000.0,Biography|Drama,Kinsey ,42689,17490,English,USA,R,2004,7.1,0
2721,Color,103.0,1000.0,21000.0,Comedy|Crime|Mystery,Kiss Kiss Bang Bang ,175962,23932,English,USA,R,2005,7.6,0
1291,Color,101.0,58.0,12000.0,Action|Crime|Thriller,Kiss of Death ,14226,14008,English,USA,R,1995,5.9,555
1916,Color,98.0,20.0,5000.0,Action|Crime|Drama|Thriller,Kiss of the Dragon ,53126,7945,English,France,R,2001,6.6,0
4753,Color,100.0,6.0,396.0,Comedy|Romance,Kiss the Bride ,1358,2310,English,USA,R,2007,5.7,60
1806,Color,115.0,39.0,11000.0,Crime|Drama|Mystery|Thriller,Kiss the Girls ,50653,14322,English,USA,R,1997,6.6,0
4407,Color,97.0,0.0,378.0,Comedy|Drama|Romance,Kissing Jessica Stein ,14018,1173,English,USA,R,2001,6.7,682
3142,Color,101.0,22.0,918.0,Drama|Family,Kit Kittredge: An American Girl ,4719,3317,English,USA,G,2008,6.7,851
3273,Color,90.0,116.0,594.0,Action|Drama|Romance|Thriller,Kites ,9673,1836,English,India,Not Rated,2010,6.0,0
234,Color,117.0,446.0,10000.0,Action|Comedy|Romance,Knight and Day ,148280,12731,English,USA,PG-13,2010,6.3,11000
1491,Color,91.0,85.0,635.0,Action|Comedy|Thriller,Knock Off ,11512,1352,English,Aruba,R,1998,4.8,471
2691,Color,92.0,34.0,14000.0,Crime|Drama|Thriller,Knockaround Guys ,19768,15644,English,USA,R,2001,6.1,566
1796,Color,133.0,0.0,11000.0,Comedy|Romance,Knocked Up ,298590,12874,English,USA,R,2007,7.0,0
950,Color,121.0,295.0,12000.0,Drama|Mystery|Sci-Fi|Thriller,Knowing ,186879,13421,English,USA,PG-13,2009,6.2,0
2633,Color,98.0,66.0,3000.0,Comedy|Fantasy|Horror,Krampus ,29867,4567,English,USA,PG-13,2015,6.2,27000
3208,Color,168.0,53.0,307.0,Action|Adventure|Romance|Sci-Fi,Krrish ,12411,616,Hindi,India,Not Rated,2006,6.3,533
1482,Color,116.0,170.0,14000.0,Action|Adventure|Fantasy,Krull ,23351,14744,English,UK,PG,1983,6.0,0
4074,Color,97.0,78.0,685.0,Comedy|Drama|Music,Krush Groove ,1361,1163,English,USA,R,1985,6.6,889
1790,Color,134.0,17000.0,2.0,Biography|Drama|History|War,Kundun ,21606,4,English,USA,PG-13,1997,7.0,0
2256,Color,99.0,0.0,264.0,Action|Comedy|Crime|Fantasy,Kung Fu Hustle ,99353,537,Cantonese,Hong Kong,R,2004,7.8,0
2014,Color,100.0,3.0,79.0,Action|Drama,Kung Fu Killer ,5900,285,Cantonese,China,Not Rated,2014,6.5,0
139,Color,90.0,90.0,11000.0,Action|Adventure|Animation|Comedy|Family,Kung Fu Panda 2 ,182718,21015,English,USA,PG,2011,7.3,20000
154,Color,95.0,5.0,24000.0,Action|Adventure|Animation|Comedy|Family,Kung Fu Panda 3 ,64322,36095,English,USA,PG,2016,7.2,24000
184,Color,92.0,54.0,11000.0,Action|Adventure|Animation|Comedy|Family,Kung Fu Panda ,307029,12754,English,USA,PG,2008,7.6,6000
3145,Color,81.0,176.0,176.0,Action|Comedy,Kung Pow: Enter the Fist ,37901,361,English,USA,PG-13,2002,6.2,0
4639,Color,100.0,28.0,945.0,Comedy,L!fe Happens ,6025,2924,English,USA,R,2011,5.7,995
3652,Color,111.0,82.0,809.0,Comedy|Drama,L'auberge espagnole ,34383,1858,French,France,R,2002,7.3,0
1416,Color,138.0,161.0,18000.0,Crime|Drama|Mystery|Thriller,L.A. Confidential ,414219,19129,English,USA,R,1997,8.3,11000
4691,Color,97.0,52.0,80.0,Crime|Drama,L.I.E. ,8509,209,English,USA,NC-17,2001,7.2,420
3073,Color,97.0,15.0,142.0,Comedy|Drama|Romance,LOL ,45144,248,English,USA,PG-13,2012,4.3,18000
3557,Color,108.0,7.0,699.0,Biography|Drama|Music,La Bamba ,21409,936,English,USA,PG-13,1987,6.8,0
3088,Color,106.0,7.0,68.0,Comedy|Drama|Music,La Famille Bélier ,15060,175,French,France,Not Rated,2014,7.4,0
4006,Color,106.0,22.0,174.0,Drama|History,La otra conquista ,1024,222,Spanish,Mexico,R,1998,6.8,140
2450,Color,111.0,655.0,24000.0,Drama,Labor Day ,31898,39307,English,USA,PG-13,2013,6.9,0
738,Color,115.0,13.0,2000.0,Action|Drama|Thriller,Ladder 49 ,48753,4496,English,USA,PG-13,2004,6.5,0
3859,Color,112.0,0.0,717.0,Crime|Drama,Lady Vengeance ,53508,907,Korean,South Korea,R,2005,7.7,4000
3826,Color,118.0,7.0,968.0,Fantasy|Horror|Mystery|Thriller,Lady in White ,4695,2545,English,USA,R,1988,6.7,0
595,Color,110.0,0.0,3000.0,Drama|Fantasy|Mystery|Thriller,Lady in the Water ,78635,5609,English,USA,PG-13,2006,5.6,0
2247,Color,121.0,503.0,2000.0,Adventure|Comedy|Drama|Fantasy,Ladyhawke ,33597,2251,English,USA,PG-13,1985,7.0,0
4160,Color,144.0,124.0,464.0,Comedy|Drama|Romance,Lage Raho Munna Bhai ,27569,1761,Hindi,India,PG-13,2006,8.2,349
4527,Color,89.0,0.0,12.0,Drama|Horror|Mystery|Thriller,Lake Mungo ,9465,29,English,Australia,R,2008,6.1,0
1811,Color,82.0,49.0,1000.0,Action|Comedy|Horror,Lake Placid ,42761,3313,English,USA,R,1999,5.6,2000
3643, Black and White,152.0,194.0,103.0,Documentary,Lake of Fire ,2143,105,English,USA,Not Rated,2006,8.3,570
2195,Color,110.0,119.0,1000.0,Crime|Drama|Thriller,Lakeview Terrace ,40469,2382,English,USA,PG-13,2008,6.1,0
2387, Black and White,97.0,0.0,654.0,Horror,Land of the Dead ,78883,1876,English,Canada,R,2005,6.2,0
316,Color,102.0,52.0,8000.0,Adventure|Comedy|Sci-Fi,Land of the Lost ,52029,10552,English,USA,PG-13,2009,5.4,0
379,Color,117.0,101.0,18000.0,Action|Adventure|Fantasy,Lara Croft Tomb Raider: The Cradle of Life ,102747,33154,English,USA,PG-13,2003,5.5,0
342,Color,100.0,165.0,11000.0,Action|Adventure|Fantasy|Thriller,Lara Croft: Tomb Raider ,157016,12150,English,USA,PG-13,2001,5.7,0
1661,Color,98.0,15000.0,15000.0,Comedy|Drama|Romance,Larry Crowne ,49205,16827,English,USA,PG-13,2011,6.1,0
2511,Color,89.0,0.0,690.0,Comedy|Romance,Larry the Cable Guy: Health Inspector ,9104,2135,English,USA,PG-13,2006,3.1,110
2905,Color,106.0,44.0,33000.0,Comedy|Drama|Romance,Lars and the Real Girl ,114762,34351,English,USA,PG-13,2007,7.4,19000
416,Color,130.0,323.0,670.0,Action|Adventure|Comedy|Fantasy,Last Action Hero ,106528,2407,English,USA,PG-13,1993,6.2,0
1105,Color,112.0,61.0,1000.0,Adventure|Comedy|Drama,Last Holiday ,21215,3757,English,USA,PG-13,2006,6.4,0
2987,Color,109.0,40.0,5000.0,Drama,Last Orders ,5016,7166,English,UK,R,2001,7.0,305
1764,Color,105.0,226.0,22000.0,Comedy|Romance,Last Vegas ,106755,35694,English,USA,PG-13,2013,6.6,27000
4650,Color,107.0,6.0,23000.0,Comedy|Drama|Romance,Latter Days ,14580,26017,English,USA,R,2003,7.2,0
907,Color,118.0,473.0,18000.0,Crime|Drama|Thriller,Law Abiding Citizen ,217480,22517,English,USA,R,2009,7.4,21000
2644,Color,227.0,767.0,607.0,Adventure|Biography|Drama|History|War,Lawrence of Arabia ,192775,1076,English,UK,PG,1962,8.4,11000
1561,Color,90.0,29.0,638.0,Comedy|Romance,Laws of Attraction ,18771,961,English,Ireland,PG-13,2004,5.9,702
3567,Color,105.0,905.0,27000.0,Crime|Drama|Thriller,Layer Cake ,134070,29277,English,UK,R,2004,7.4,0
3682,Color,93.0,592.0,232.0,Comedy|Drama,Le Havre ,15267,391,French,Finland,Not Rated,2011,7.2,0
2378,Color,100.0,14.0,3000.0,Comedy|Romance,Leap Year ,71276,4094,English,USA,PG,2010,6.4,13000
820,Color,114.0,0.0,142.0,Comedy|Drama|Romance|Sport,Leatherheads ,27664,589,English,USA,PG-13,2008,6.0,472
3894,Color,111.0,81.0,12000.0,Drama|Romance,Leaving Las Vegas ,93894,14823,English,USA,R,1995,7.6,0
1594,Color,132.0,304.0,15000.0,Biography|Drama,Lee Daniels' The Butler ,87665,20035,English,USA,PG-13,2013,7.2,41000
2568,Color,110.0,179.0,12000.0,Action|Drama|Fantasy|Mystery|Thriller,Left Behind ,24854,15044,English,USA,PG-13,2014,3.1,31000
1239,Color,116.0,425.0,954.0,Comedy|Crime|Romance,Legal Eagles ,7900,2179,English,USA,PG,1986,5.9,263
1889,Color,95.0,0.0,934.0,Comedy,"Legally Blonde 2: Red, White & Blonde ",46417,3500,English,USA,PG-13,2003,4.6,660
2395,Color,96.0,126.0,2000.0,Comedy|Romance,Legally Blonde ,131801,4380,English,USA,PG-13,2001,6.2,0
3011,Color,89.0,0.0,970.0,Action|Adventure|Animation|Comedy|Family,Legend of Kung Fu Rabbit ,408,1854,Mandarin,China,PG,2011,3.2,211
312,Color,101.0,0.0,2000.0,Action|Adventure|Animation|Family|Fantasy,Legend of the Guardians: The Owls of Ga'Hoole ,65785,4286,English,USA,PG,2010,7.0,16000
624,Color,88.0,6.0,2000.0,Adventure|Animation|Family|Fantasy|Musical,Legends of Oz: Dorothy's Return ,5116,6946,English,USA,PG,2013,5.6,5000
1611,Color,133.0,380.0,12000.0,Drama|Romance|War|Western,Legends of the Fall ,112175,26388,English,USA,R,1994,7.5,11000
1966,Color,132.0,241.0,27000.0,Biography|Crime|Drama|History|Thriller,Legend ,87682,27659,English,UK,R,2015,7.0,43000
1847,Color,100.0,124.0,2000.0,Action|Fantasy|Horror,Legion ,80870,3889,English,USA,R,2010,5.2,0
658,Color,158.0,0.0,20000.0,Drama|Musical|Romance,Les Misérables ,243834,46204,English,USA,PG-13,2012,7.6,144000
2339,Color,118.0,8.0,106.0,Comedy|Family|Fantasy|Sci-Fi,Les couloirs du temps: Les visiteurs II ,7147,182,French,France,Not Rated,1998,6.0,136
3522,Color,107.0,8.0,106.0,Comedy|Fantasy|Sci-Fi,Les visiteurs ,24438,215,French,France,R,1993,7.0,0
2282,Color,116.0,198.0,17000.0,Drama|Fantasy|Horror|Mystery,Let Me In ,92237,20258,English,UK,R,2010,7.2,25000
2489,Color,104.0,42.0,839.0,Comedy,Let's Be Cops ,106820,3627,English,USA,R,2014,6.5,14000
3920,Color,90.0,0.0,812.0,Comedy|Crime,Let's Go to Prison ,19622,1566,English,USA,R,2006,6.0,931
3828,Color,82.0,0.0,927.0,Comedy|Crime,Let's Kill Ward's Wife ,4247,2469,English,USA,Not Rated,2014,5.4,0
1402,Color,121.0,503.0,808.0,Action|Crime|Thriller,Lethal Weapon 3 ,128010,1446,English,USA,R,1992,6.7,0
166,Color,127.0,503.0,5000.0,Action|Crime|Thriller,Lethal Weapon 4 ,127497,6171,English,USA,R,1998,6.6,0
2863,Color,141.0,16000.0,378.0,Drama|History|War,Letters from Iwo Jima ,132149,751,Japanese,USA,R,2006,7.9,5000
4106,Color,110.0,13.0,439.0,Drama|Family,Letters to God ,3942,1567,English,USA,PG,2010,6.3,0
1639,Color,105.0,56.0,898.0,Comedy|Drama|Romance,Letters to Juliet ,74630,1026,English,USA,PG,2010,6.5,13000
1070,Color,86.0,293.0,509.0,Comedy|Fantasy|Romance,Liar Liar ,220392,2070,English,USA,PG-13,1997,6.8,0
1166,Color,133.0,46.0,683.0,Action|Adventure|Thriller,Licence to Kill ,74009,2371,English,UK,PG-13,1989,6.6,0
1433,Color,91.0,42.0,49000.0,Comedy|Romance,License to Wed ,32157,52566,English,USA,PG-13,2007,5.3,913
4243,Color,89.0,15.0,919.0,Drama,Lies in Plain Sight ,544,3873,English,USA,TV-PG,2010,6.3,162
3858,Color,98.0,377.0,1000.0,Comedy|Drama,Life During Wartime ,5465,5041,English,USA,R,2009,6.5,0
2434,Color,125.0,34.0,16000.0,Drama,Life as a House ,39105,21622,English,USA,R,2001,7.5,0
223,Color,127.0,0.0,774.0,Adventure|Drama|Fantasy,Life of Pi ,440084,2121,English,USA,PG,2012,8.0,122000
1296,Color,103.0,65.0,11000.0,Comedy|Romance,Life or Something Like It ,19364,12566,English,USA,PG-13,2002,5.8,835
1971,Color,101.0,365.0,338.0,Action|Horror|Sci-Fi|Thriller,Lifeforce ,15531,1008,English,UK,R,1985,6.1,0
2871,Color,99.0,7.0,3000.0,Drama|Thriller,Light It Up ,3116,6485,English,USA,R,1999,6.0,251
3780,Color,103.0,261.0,722.0,Crime|Drama,Light Sleeper ,3665,1201,English,USA,R,1992,6.8,247
4716,Color,90.0,0.0,595.0,Action|Drama|Thriller,Light from the Darkroom ,6,1754,English,USA,PG-13,2014,8.0,9
3700,Color,81.0,26.0,2000.0,Horror,Lights Out ,13523,3344,English,USA,PG-13,2016,6.9,0
4864,Color,90.0,52.0,34000.0,Drama|Romance,Like Crazy ,46813,34983,English,USA,PG-13,2011,6.7,12000
1632,Color,99.0,13.0,1000.0,Comedy|Family|Fantasy|Sport,Like Mike ,15074,3679,English,USA,PG,2002,5.1,1000
443,Color,85.0,255.0,1000.0,Adventure|Animation|Comedy|Drama|Family|Fantasy|Sci-Fi,Lilo & Stitch ,117212,3112,English,USA,PG,2002,7.2,0
3864,Color,109.0,187.0,129.0,Crime|Drama,Lilya 4-Ever ,35464,131,Russian,Sweden,R,2002,7.9,0
3347,Color,126.0,407.0,638.0,Adventure|Drama|Thriller,Limbo ,5158,823,English,USA,R,1999,7.1,196
653,Color,150.0,14000.0,23000.0,Biography|Drama|History|War,Lincoln ,197412,25517,English,USA,PG-13,2012,7.4,71000
1504, Black and White,156.0,278.0,695.0,Biography|Drama|History|War,Lion of the Desert ,9852,1573,English,Libya,PG,1980,8.4,0
1483,Color,92.0,0.0,11000.0,Drama|Thriller|War,Lions for Lambs ,41170,32875,English,USA,R,2007,6.2,0
4589,Color,90.0,165.0,978.0,Comedy|Drama,Lisa Picard Is Famous ,455,3258,English,USA,PG-13,2000,5.7,25
2732,Color,100.0,5.0,192.0,Drama|Sci-Fi|Thriller,Listening ,1933,527,English,Cambodia,Not Rated,2014,5.6,708
4886,Color,83.0,12.0,1000.0,Comedy,Little Big Top ,110,1244,English,USA,Not Rated,2006,6.5,72
1679,Color,105.0,34.0,1000.0,Comedy|Drama|Romance,Little Black Book ,15052,4369,English,USA,PG-13,2004,5.2,484
2309,Color,106.0,38.0,1000.0,Drama|War,Little Boy ,15978,5705,English,Mexico,PG-13,2015,7.4,15000
2803,Color,137.0,143.0,14000.0,Drama|Romance,Little Children ,92781,15337,English,USA,R,2006,7.6,5000
293,Color,98.0,80.0,22000.0,Comedy|Romance,Little Fockers ,85531,24082,English,USA,PG-13,2010,5.5,0
3361,Color,101.0,36.0,7000.0,Comedy|Drama,Little Miss Sunshine ,355810,7227,English,USA,R,2006,7.9,15000
1724,Color,91.0,2.0,295.0,Comedy|Family,Little Nicholas ,9214,545,French,France,Not Rated,2009,7.2,0
486,Color,90.0,65.0,11000.0,Comedy|Fantasy,Little Nicky ,80639,25190,English,USA,PG-13,2000,5.3,0
1657,Color,102.0,0.0,13000.0,Comedy|Horror|Musical|Sci-Fi,Little Shop of Horrors ,49349,15308,English,USA,PG-13,1986,6.9,0
3619,Color,97.0,39.0,1000.0,Comedy|Drama|Music|Romance,Little Voice ,13892,2103,English,UK,R,1998,7.0,915
2007,Color,134.0,0.0,541.0,Comedy|Drama,Little White Lies ,18395,890,French,France,Not Rated,2010,7.1,0
2625,Color,115.0,44.0,23000.0,Drama|Family|Romance,Little Women ,36624,29370,English,USA,PG,1994,7.3,0
701,Color,98.0,322.0,979.0,Comedy|Crime,Littleman ,39471,6334,English,USA,PG-13,2006,4.3,0
269,Color,129.0,235.0,13000.0,Action|Adventure|Thriller,Live Free or Die Hard ,336235,13961,English,USA,PG-13,2007,7.2,0
3472,Color,121.0,82.0,581.0,Action|Adventure|Thriller,Live and Let Die ,74957,1865,English,UK,PG,1973,6.8,0
4666,Color,83.0,0.0,24.0,Drama,Live-In Maid ,772,29,Spanish,Argentina,Not Rated,2004,7.2,83
4378,Color,112.0,0.0,86.0,Horror,Living Dark: The Story of Ted the Caver ,28,139,English,USA,PG-13,2013,6.3,73
2965,Color,100.0,98.0,1000.0,Comedy|Drama|Romance,Living Out Loud ,4052,3250,English,USA,R,1998,6.6,242
2847,Color,84.0,0.0,11000.0,Action|Comedy|Crime,Loaded Weapon 1 ,37611,12322,English,USA,PG-13,1993,6.1,0
4458,Color,120.0,0.0,26000.0,Comedy|Crime,"Lock, Stock and Two Smoking Barrels ",414976,28294,English,UK,R,1998,8.2,21000
4845,Color,95.0,0.0,685.0,Thriller,Locker 13 ,241,2048,English,USA,R,2014,4.8,261
2272,Color,95.0,4.0,788.0,Action|Adventure|Sci-Fi|Thriller,Lockout ,82082,1414,English,France,PG-13,2012,6.1,10000
3482,Color,119.0,23.0,1000.0,Action|Adventure|Sci-Fi,Logan's Run ,39847,2951,English,USA,PG,1976,6.8,0
890, Black and White,152.0,0.0,617.0,Crime|Drama|Romance,Lolita ,67822,1403,English,UK,Not Rated,1962,7.7,0
762,Color,99.0,24.0,18000.0,Action|Crime|Drama|Thriller,London Has Fallen ,69484,20276,English,UK,R,2016,5.9,28000
4656,Color,85.0,46.0,418.0,Crime|Drama|Thriller,London to Brighton ,7308,926,English,UK,R,2006,7.0,933
4311,Color,92.0,11.0,26000.0,Drama|Romance,London ,19336,39518,English,UK,R,2005,6.6,0
3743,Color,135.0,407.0,11000.0,Drama|Mystery,Lone Star ,23202,11400,English,USA,R,1996,7.6,0
1194,Color,121.0,532.0,480.0,Action|Biography|Drama|Thriller|War,Lone Survivor ,203963,1261,English,USA,R,2013,7.6,58000
3747,Color,107.0,8.0,926.0,Action|Crime|Drama|Thriller|Western,Lone Wolf McQuade ,7973,2383,English,USA,PG,1983,6.3,0
4744,Color,91.0,12000.0,778.0,Comedy|Drama,Lonesome Jim ,6884,1440,English,USA,R,2005,6.6,238
496,Color,91.0,287.0,3000.0,Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi,Looney Tunes: Back in Action ,24183,5593,English,Germany,PG,2003,5.7,665
1615,Color,119.0,0.0,23000.0,Action|Crime|Drama|Sci-Fi|Thriller,Looper ,428916,37387,English,USA,R,2012,7.4,75000
3283,Color,110.0,798.0,580.0,Comedy|Drama|Romance,Loose Cannons ,8667,662,Italian,Italy,Not Rated,2010,7.3,0
1170,Color,122.0,487.0,12000.0,Crime|Drama|Thriller,Lord of War ,248123,12076,English,USA,R,2005,7.6,10000
1974,Color,107.0,308.0,13000.0,Biography|Drama|Sport,Lords of Dogtown ,43903,16651,English,USA,PG-13,2005,7.1,5000
4022,Color,90.0,0.0,1000.0,Crime|Mystery|Thriller,Lords of London ,610,1183,English,UK,R,2014,3.1,606
2264,Color,98.0,143.0,302.0,Comedy|Romance,Loser ,23076,1189,English,USA,PG-13,2000,5.3,1000
3519,Color,100.0,161.0,10000.0,Comedy|Drama|Family,Losin' It ,3114,11059,English,Canada,R,1983,4.8,168
1781,Color,97.0,710.0,497.0,Drama|Horror|Thriller,Lost Souls ,9338,1805,English,USA,R,2000,4.8,209
475,Color,130.0,81.0,10000.0,Action|Adventure|Family|Sci-Fi|Thriller,Lost in Space ,58402,12186,English,USA,PG-13,1998,5.1,0
3888,Color,101.0,0.0,19000.0,Drama,Lost in Translation ,321283,32015,English,USA,R,2003,7.8,17000
2505,Color,99.0,17.0,918.0,Comedy,Lottery Ticket ,7991,4797,English,USA,PG-13,2010,4.9,0
2659,Color,124.0,107.0,1000.0,Drama|Romance|Sport,Love & Basketball ,14322,5135,English,USA,PG-13,2000,7.2,0
1688,Color,112.0,380.0,15000.0,Comedy|Drama|Romance,Love & Other Drugs ,143368,31278,English,USA,R,2010,6.7,24000
1094,Color,129.0,628.0,14000.0,Comedy|Drama|Romance,Love Actually ,318634,28886,English,UK,R,2003,7.7,52000
2426,Color,109.0,7.0,2000.0,Drama|Romance,Love Happens ,25344,4947,English,USA,PG-13,2009,5.6,0
3157,Color,104.0,28.0,962.0,Drama|Romance,Love Jones ,2801,3871,English,USA,R,1997,7.4,1000
4721,Color,88.0,11.0,2000.0,Drama|Romance,Love Letters ,487,2996,English,USA,R,1983,6.1,7
4547, Black and White,89.0,0.0,356.0,Drama|Romance|Western,Love Me Tender ,2636,831,English,USA,Not Rated,1956,6.2,365
2008,Color,117.0,138.0,908.0,Comedy|Drama|Romance|Sport,Love Ranch ,2395,3204,English,USA,R,2010,5.7,636
3926,Color,94.0,24.0,834.0,Comedy,Love Stinks ,4377,2662,English,USA,R,1999,5.8,309
3882,Color,93.0,23.0,471.0,Comedy|Drama,Love and Death on Long Island ,3407,938,English,UK,PG-13,1997,7.1,61
4861,Color,76.0,0.0,991.0,Comedy|Romance,Love and Other Catastrophes ,1727,1661,English,Australia,R,1996,6.4,46
1132,Color,139.0,179.0,267.0,Drama|Romance,Love in the Time of Cholera ,19114,538,English,USA,R,2007,6.4,0
4801,Color,97.0,0.0,935.0,Comedy|Horror,Love in the Time of Monsters ,143,2350,English,USA,Not Rated,2014,5.4,194
2432,Color,107.0,24.0,10000.0,Comedy,Love the Coopers ,9051,10691,English,USA,PG-13,2015,5.7,0
4110,Color,87.0,84.0,702.0,Drama|Family|Western,Love's Abiding Joy ,1289,2715,Unknown,USA,PG,2006,7.2,76
4853,Color,91.0,132.0,400.0,Comedy|Drama|Romance,Lovely & Amazing ,6041,1330,English,USA,R,2001,6.9,169
3793,Color,90.0,6.0,3000.0,Drama|Romance,"Lovely, Still ",1560,4987,English,USA,PG,2008,7.3,777
4610,Color,76.0,57.0,442.0,Drama|Romance,Loving Annabelle ,9190,1635,English,USA,Not Rated,2006,6.7,501
3640,Color,107.0,11.0,773.0,Comedy|Crime|Romance,Lucky Break ,1940,2440,English,UK,PG-13,2001,6.2,30
4493,Color,110.0,118.0,13000.0,Crime|Drama|Mystery|Thriller,Lucky Number Slevin ,262160,26451,English,Germany,R,2006,7.8,10000
687,Color,105.0,0.0,975.0,Comedy|Crime,Lucky Numbers ,8560,3580,English,France,R,2000,5.0,177
910,Color,124.0,161.0,21000.0,Drama|Romance|Sport,Lucky You ,18310,26334,English,USA,PG-13,2007,5.9,672
1189,Color,89.0,0.0,19000.0,Action|Sci-Fi|Thriller,Lucy ,327367,32325,English,France,R,2014,6.4,83000
4578,Color,100.0,0.0,844.0,Comedy|Romance,Luminarias ,505,2289,English,USA,R,2000,3.6,24
3167,Color,95.0,434.0,1000.0,Action|Comedy|Romance,MacGruber ,35888,2618,English,USA,R,2010,5.5,0
2305,Color,107.0,0.0,2000.0,Action|Comedy|Crime|Thriller,Machete Kills ,59248,2848,English,Russia,R,2013,5.6,48000
2911,Color,105.0,20.0,22000.0,Action|Crime|Thriller,Machete ,165792,26233,English,USA,R,2010,6.7,44000
3072,Color,96.0,4.0,917.0,Crime|Drama|Thriller,Machine Gun McCain ,618,1827,English,Italy,GP,1969,6.2,85
1726,Color,129.0,395.0,18000.0,Action|Biography|Crime|Drama,Machine Gun Preacher ,52972,19620,English,USA,R,2011,6.8,21000
1019,Color,115.0,333.0,972.0,Crime|Drama|Thriller,Mad City ,16562,2606,English,USA,PG-13,1997,6.2,697
4729,Color,105.0,2.0,0.0,Documentary|Family|Music,Mad Hot Ballroom ,3156,0,English,USA,PG,2005,7.5,588
4254, Black and White,87.0,750.0,745.0,Action|Adventure|Sci-Fi|Thriller,Mad Max 2: The Road Warrior ,133966,1396,English,Australia,R,1981,7.6,0
3110,Color,107.0,750.0,794.0,Action|Adventure|Sci-Fi|Thriller,Mad Max Beyond Thunderdome ,101840,1529,English,Australia,PG-13,1985,6.2,0
128,Color,120.0,750.0,27000.0,Action|Adventure|Sci-Fi|Thriller,Mad Max: Fury Road ,552503,40025,English,Australia,R,2015,8.1,191000
4895,Color,93.0,750.0,728.0,Action|Adventure|Sci-Fi|Thriller,Mad Max ,152232,928,English,Australia,R,1979,7.0,10000
2121,Color,104.0,144.0,939.0,Comedy|Crime|Thriller,Mad Money ,16831,2453,English,USA,PG-13,2008,5.8,687
3020,Color,134.0,0.0,15.0,Drama,Madadayo ,3466,30,Japanese,Japan,Not Rated,1993,7.5,355
148,Color,93.0,35.0,851.0,Adventure|Animation|Comedy|Family,Madagascar 3: Europe's Most Wanted ,119213,2444,English,USA,PG,2012,6.9,17000
121,Color,89.0,35.0,1000.0,Action|Adventure|Animation|Comedy|Family,Madagascar: Escape 2 Africa ,146019,3285,English,USA,PG,2008,6.7,0
524,Color,86.0,35.0,851.0,Adventure|Animation|Comedy|Family,Madagascar ,266636,1777,English,USA,PG,2005,6.9,0
3404,Color,113.0,13.0,5000.0,Biography|Comedy|Drama|History,Made in Dagenham ,11158,7692,English,UK,R,2010,7.2,0
1244,Color,101.0,10.0,1000.0,Comedy|Romance,Made of Honor ,54421,4298,English,USA,PG-13,2008,5.8,3000
2476,Color,103.0,0.0,923.0,Comedy|Crime|Drama,Madea Goes to Jail ,9544,3699,English,USA,PG-13,2009,4.1,804
